"pca_id","code","Map.Number","Map.Code"
"1","acebb",15,"ace"
"2","aceei",15,"ace"
"3","acefc",15,"ace"
"7","acemc",15,"ace"
"9","acesp",15,"ace"
"11","apacp",19,"apa"
"12","apadb",19,"apa"
"13","apaeb",19,"apa"
"15","apaes",19,"apa"
"19","apapc",19,"apa"
"23","cbmip",11,"cbm"
"25","cbmmb",11,"cbm"
"26","cbmmc",11,"cbm"
"27","cbmoc",11,"cbm"
"29","cbmrr",11,"cbm"
"30","cbvcb",12,"cbv"
"32","cbvgi",12,"cbv"
"33","cbvsh",12,"cbv"
"34","cbvsp",12,"cbv"
"35","cbvtc",12,"cbv"
"38","delbl",10,"del"
"39","delds",10,"del"
"40","delll",10,"del"
"42","delsl",10,"del"
"44","elkap",24,"elk"
"45","elknm",24,"elk"
"46","elksm",24,"elk"
"47","elkvm",24,"elk"
"48","gndbc",21,"gnd"
"49","gndbh",21,"gnd"
"50","gndbl",21,"gnd"
"52","gndcr",21,"gnd"
"54","gndpc",21,"gnd"
"55","grbgb",4,"grb"
"56","grblr",4,"grb"
"57","grbor",4,"grb"
"58","grbsq",4,"grb"
"59","gtmfm",17,"gtm"
"60","gtmpc",17,"gtm"
"61","gtmpi",17,"gtm"
"62","gtmss",17,"gtm"
"63","heekk",29,"hee"
"65","heer9",29,"hee"
"66","heew2",29,"hee"
"67","hudbm",8,"hud"
"70","hudsc",8,"hud"
"71","hudsk",8,"hud"
"72","hudtn",8,"hud"
"73","hudts",8,"hud"
"75","jacb6",9,"jac"
"76","jacb9",9,"jac"
"77","jacba",9,"jac"
"78","jacne",9,"jac"
"80","job09",30,"job"
"81","job10",30,"job"
"84","job19",30,"job"
"85","job20",30,"job"
"89","kachd",28,"kac"
"92","kachs",28,"kac"
"94","kacsd",28,"kac"
"96","kacss",28,"kac"
"97","lksba",1,"lks"
"98","lksbl",1,"lks"
"99","lksol",1,"lks"
"100","lkspo",1,"lks"
"101","marab",22,"mar"
"102","marce",22,"mar"
"103","marcw",22,"mar"
"104","marmb",22,"mar"
"105","marsc",22,"mar"
"106","narnc",6,"nar"
"107","narpc",6,"nar"
"108","nartb",6,"nar"
"109","narts",6,"nar"
"110","nartw",6,"nar"
"112","niwcb",14,"niw"
"113","niwdc",14,"niw"
"114","niwol",14,"niw"
"115","niwta",14,"niw"
"118","nocec",13,"noc"
"119","noclc",13,"noc"
"120","nocrc",13,"noc"
"121","noczb",13,"noc"
"122","owcbr",2,"owc"
"123","owcdr",2,"owc"
"124","owcol",2,"owc"
"125","owcsu",2,"owc"
"126","owcwm",2,"owc"
"127","pdbbp",27,"pdb"
"128","pdbby",27,"pdb"
"129","pdbgd",27,"pdb"
"130","pdbgs",27,"pdb"
"131","pdbje",27,"pdb"
"132","pdbjl",27,"pdb"
"137","rkbfb",18,"rkb"
"138","rkbfu",18,"rkb"
"139","rkblh",18,"rkb"
"140","rkbmb",18,"rkb"
"141","rkbpb",18,"rkb"
"144","sapca",16,"sap"
"145","sapdc",16,"sap"
"146","sapfd",16,"sap"
"147","saphd",16,"sap"
"148","sapld",16,"sap"
"149","sapml",16,"sap"
"150","sfbcc",25,"sfb"
"151","sfbfm",25,"sfb"
"152","sfbgc",25,"sfb"
"153","sfbsm",25,"sfb"
"155","sosch",26,"sos"
"159","sosva",26,"sos"
"160","soswi",26,"sos"
"161","tjrbr",23,"tjr"
"163","tjrmm",23,"tjr"
"164","tjros",23,"tjr"
"165","tjrpe",23,"tjr"
"166","tjrpr",23,"tjr"
"167","tjrrc",23,"tjr"
"169","tjrsb",23,"tjr"
"170","tjrtl",23,"tjr"
"172","welht",3,"wel"
"173","welin",3,"wel"
"174","wellm",3,"wel"
"175","welml",3,"wel"
"176","welsm",3,"wel"
"178","wkbfr",20,"wkb"
"179","wkbmb",20,"wkb"
"180","wkbmr",20,"wkb"
"181","wkbwb",20,"wkb"
"184","wqbcr",5,"wqb"
"186","wqbmh",5,"wqb"
"187","wqbmp",5,"wqb"
"190","wqbsl",5,"wqb"
