"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"SpCond",-0.47585553152367,0.105623804774017,0.36914236292261,-0.141788251537282,-0.101343733103391,-0.246260901845837,0.0148436482909993,0.69135208680788,-0.23860449861611
"Temp",-0.141027309758367,0.574198878934927,-0.232807535833879,-0.00226719867322789,-0.117339314528598,0.31736982883663,0.115284704082473,-0.194092875489181,-0.656313740600064
"DO",0.0717151207905791,-0.57662754385677,-0.180686049695759,-0.324798789068857,-0.0164644282885699,-0.175437548845954,-0.388136131225119,-0.0888920893305832,-0.578459198499377
"pH",-0.405760685378585,-0.0879790904299865,0.138698799693508,-0.619283991557295,-0.234145909102106,0.476818933979884,-0.076024633664084,-0.22961813230471,0.290143227483998
"Turb",0.435483319300805,0.323000705124684,0.00843335460124802,-0.216721722789345,0.249869820232775,0.316883284781938,-0.581168546654424,0.390284187782711,0.077825615385438
"Chla",0.29325700867883,0.324219873968112,-0.109959368849259,-0.639363998749727,0.000577358573140372,-0.533671956743772,0.297803242864638,-0.0881784074149896,0.0820738736583723
"NH4",0.304227901454593,0.131424622130729,0.469706270666335,0.13770657399471,-0.71996404642789,-0.139106796559994,-0.267811349571111,-0.197941476400885,-0.0445330822291357
"NO23",0.450824530660931,-0.302933292450624,0.0377695216557593,-0.106625057749222,-0.23928968348542,0.412394709339122,0.557828085239176,0.36513119916876,-0.142728094542638
"PO4",0.111558283753916,-0.0202637963775829,0.723489502222977,-0.0692632981385881,0.53181059382176,0.0765275106775068,0.143947765186032,-0.301886001776231,-0.241608316960162
