station,cluster,cluster_all,Reserve
acefc,A,A,ace
acemc,D,D,ace
acesp,D,D,ace
apacp,B,B,apa
apadb,B,B,apa
apaeb,A,A,apa
apaes,A,A,apa
cbmip,A,A,cbm
cbmmc,A,A,cbm
cbmoc,A,A,cbm
cbmrr,A,A,cbm
cbvcb,D,A,cbv
cbvgi,C,B,cbv
cbvtc,A,A,cbv
delbl,A,A,del
delds,A,A,del
delll,A,A,del
delsl,A,A,del
elkap,D,D,elk
elknm,D,D,elk
elksm,D,D,elk
elkvm,C,C,elk
gndbc,B,B,gnd
gndbh,D,D,gnd
gndbl,B,B,gnd
gndpc,B,B,gnd
grbgb,C,C,grb
grblr,A,A,grb
grbor,D,A,grb
grbsq,D,A,grb
gtmfm,B,D,gtm
gtmpc,D,D,gtm
gtmpi,D,D,gtm
gtmss,D,D,gtm
hudtn,A,A,hud
hudts,A,A,hud
jacb6,C,B,jac
jacb9,C,B,jac
jacba,A,A,jac
jacne,A,A,jac
job09,B,B,job
job10,B,B,job
job19,B,B,job
job20,B,B,job
kacss,C,C,kac
lksba,A,A,lks
lksbl,A,A,lks
lksol,A,A,lks
marab,B,B,mar
marce,B,B,mar
marcw,B,B,mar
marmb,B,B,mar
marsc,B,B,mar
narnc,C,C,nar
narpc,C,C,nar
nartb,C,C,nar
narts,C,C,nar
niwcb,D,D,niw
niwdc,D,D,niw
niwol,D,D,niw
niwta,A,A,niw
nocec,D,D,noc
noclc,B,B,noc
nocrc,B,B,noc
noczb,D,D,noc
owcbr,A,A,owc
owcdr,A,A,owc
owcol,A,A,owc
owcwm,A,A,owc
pdbbp,C,C,pdb
pdbby,C,C,pdb
pdbgs,C,C,pdb
rkbfb,B,D,rkb
rkbfu,B,D,rkb
rkblh,B,B,rkb
rkbmb,D,D,rkb
sapca,D,D,sap
sapdc,D,D,sap
saphd,D,D,sap
sapld,D,D,sap
sfbcc,D,A,sfb
sfbgc,D,D,sfb
sfbsm,A,A,sfb
sosch,C,C,sos
sosva,C,C,sos
soswi,C,C,sos
tjrbr,D,D,tjr
tjros,D,D,tjr
tjrpr,D,D,tjr
tjrsb,D,D,tjr
welht,C,C,wel
welin,C,C,wel
wellm,C,C,wel
welsm,C,C,wel
wkbfr,A,A,wkb
wkbmb,A,A,wkb
wkbmr,A,A,wkb
wkbwb,A,A,wkb
wqbcr,C,C,wqb
wqbmh,C,C,wqb
wqbmp,C,C,wqb
wqbsl,C,B,wqb
